,goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
19,0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Niamh Fahey,Liverpool FC Women
20,0,0,0,0,0.0,1,100.0,0,0,66.67,1,100.0,14,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0,Remy Siemsen,Leicester City WFC
21,0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Tianna Teisar,Bristol City WFC
22,0,0,0,12,37.5,3,100.0,3,0,71.79,15,42.86,236,2,4,5,7,0,0,0,8,0,0,0,0,0,20,0,84,3,2,50.0,4,44.44,5,3,6,0,0,0,0,0.0,0,0,0.0,0,0,0,Karoline Olesen,Everton Women
23,0,1,0,9,34.62,3,42.86,0,0,74.42,12,36.36,214,3,6,8,8,0,0,0,7,1,0,0,0,0,29,0,64,3,0,0.0,1,50.0,0,2,2,1,3,2,0,0.0,0,1,0.0,1,0,0,Tatiana Pinto,Brighton
24,0,1,0,3,18.75,1,20.0,1,0,83.23,4,19.05,361,0,3,6,8,0,0,0,11,3,0,0,0,0,44,0,139,4,0,0.0,6,66.67,1,2,4,1,5,2,1,0.0,0,1,0.0,0,0,0,Jordan Nobbs,Aston Villa WFC
25,1,0,0,22,44.0,6,42.86,6,0,65.65,28,43.75,698,2,5,11,8,0,0,0,16,3,0,0,0,0,48,1,172,8,5,20.0,15,37.5,3,16,6,1,4,2,1,25.0,0,1,0.0,0,0,0,Kirsty Smith,West Ham Women
26,0,0,0,1,16.67,0,0.0,0,0,100.0,1,16.67,42,1,1,2,4,0,0,0,0,0,0,0,0,0,5,0,8,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Shania Hayles,Bristol City WFC
27,0,2,0,28,50.91,2,28.57,4,1,61.98,30,48.39,571,10,10,7,7,0,0,0,12,5,0,0,0,0,21,0,75,1,2,28.57,4,26.67,8,11,8,0,3,0,2,0.0,0,1,0.0,0,0,0,Jamie-Lee Napier,Bristol City WFC
28,0,0,0,0,0.0,0,0.0,0,0,78.26,0,0.0,180,0,0,2,2,4,3,1,3,0,0,0,0,0,1,0,54,0,0,0.0,12,50.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Emily Ramsey,Everton Women
29,0,0,0,1,33.33,1,100.0,0,0,75.0,2,50.0,43,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jessica Ziu,West Ham Women
30,0,0,0,0,0.0,0,0.0,0,0,80.0,0,0.0,36,0,0,2,3,0,0,0,1,1,0,0,0,0,2,0,12,0,0,0.0,0,0.0,1,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Olivia McLoughlin,Aston Villa WFC
31,0,1,0,4,25.0,4,28.57,0,1,60.0,8,26.67,225,3,1,7,4,0,0,0,3,1,0,0,0,0,10,0,36,3,1,16.67,0,0.0,1,5,0,0,2,0,0,0.0,0,2,0.0,0,0,0,Abigail Harrison,Bristol City WFC
32,0,0,0,7,31.82,0,0.0,1,0,73.85,7,31.82,205,3,3,10,4,0,0,0,5,0,0,0,0,0,11,0,48,1,2,25.0,1,33.33,1,3,1,0,1,0,1,0.0,0,0,0.0,0,0,0,Poppy Pattinson,Brighton
33,0,1,0,11,47.83,9,69.23,0,0,72.61,20,55.56,549,1,8,2,7,0,0,0,11,2,0,0,0,0,26,0,220,0,0,0.0,29,50.88,3,29,2,0,4,0,2,0.0,0,0,0.0,1,1,0,Shannon Cooke,West Ham Women
34,0,0,0,1,25.0,0,0.0,1,0,77.78,1,25.0,28,0,2,1,2,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0.0,0,0.0,0,0,0,1,2,0,1,0.0,0,1,0.0,0,0,0,Ellie Brazil,Tottenham FC Women
35,0,0,0,11,36.67,0,0.0,3,0,77.78,11,34.38,283,1,5,8,8,0,0,0,8,0,0,0,0,0,17,0,42,1,0,0.0,0,0.0,0,2,2,1,6,2,3,0.0,0,5,0.0,0,0,0,Emma Bissell,Everton Women
36,0,0,0,2,22.22,1,50.0,0,0,70.59,3,27.27,136,0,1,0,5,0,0,0,7,0,0,0,0,0,14,0,36,3,1,20.0,4,80.0,3,3,4,0,0,0,0,0.0,0,0,0.0,0,0,0,Asmita Ale,Tottenham FC Women
37,0,0,0,2,40.0,0,0.0,1,0,85.71,2,40.0,46,0,0,1,2,0,0,0,4,0,0,0,0,0,3,0,6,0,0,0.0,0,0.0,0,0,2,0,1,1,0,0.0,0,0,0.0,0,0,0,Linyan Zhang,Tottenham FC Women
38,0,1,0,8,57.14,2,28.57,0,0,87.18,10,47.62,271,2,3,1,4,0,0,0,11,1,0,0,0,0,3,0,68,1,0,0.0,2,33.33,3,5,2,0,2,1,0,0.0,0,0,0.0,0,0,0,Amber Tysiak,West Ham Women
39,0,0,0,0,0.0,1,100.0,0,0,36.36,1,100.0,90,0,0,0,1,4,3,1,3,1,0,1,1,1,0,0,12,0,0,0.0,7,25.93,0,3,0,0,0,0,0,0.0,0,0,,0,0,0,Fran Bentley,Bristol City WFC
40,0,0,0,0,0.0,0,0.0,0,0,81.4,0,0.0,90,0,0,0,1,2,2,0,2,1,0,0,0,0,3,0,35,0,0,0.0,6,42.86,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Nicky Evrard,Brighton
41,0,0,0,0,0.0,1,100.0,0,0,77.78,1,100.0,90,0,0,0,1,2,1,1,2,0,2,0,0,0,1,0,21,0,0,0.0,5,50.0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,0,Sabrina D'Angelo,Arsenal Women
42,0,0,0,0,0.0,0,0.0,0,0,59.46,0,0.0,90,0,0,0,1,3,1,2,2,1,0,0,1,0,1,0,22,0,0,0.0,6,30.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Megan Walsh,West Ham Women
43,0,0,0,6,46.15,1,50.0,0,0,58.49,7,46.67,197,1,2,1,3,0,0,0,6,4,0,0,0,0,7,0,31,0,0,0.0,0,0.0,2,5,4,0,0,0,0,0.0,0,0,0.0,0,0,0,Chloe Mustaki,Bristol City WFC
44,0,0,0,0,0.0,0,0.0,0,0,80.0,0,0.0,62,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0.0,0,0.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sille Struck,Bristol City WFC
45,0,0,0,3,100.0,0,0.0,1,0,100.0,3,100.0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Denny Draper,Leicester City WFC
