,goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
46,4,0,0,13,36.11,4,26.67,2,0,70.19,17,33.33,679,4,4,12,8,0,0,0,16,6,0,0,0,0,26,0,73,6,0,0.0,0,0.0,2,2,3,1,12,9,2,33.33,0,10,0.0,0,0,0,Amalie Thestrup,Bristol City WFC
47,0,2,0,12,57.14,6,66.67,2,0,84.29,18,60.0,720,2,5,2,8,0,0,0,16,3,0,0,0,0,13,0,236,2,0,0.0,16,47.06,5,45,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Maria Thorisdottir,Brighton
48,0,1,0,6,37.5,0,0.0,2,0,83.75,6,33.33,163,2,2,6,5,0,0,0,1,0,0,0,0,0,31,0,67,5,1,50.0,2,40.0,1,0,2,1,5,2,1,0.0,0,0,0.0,0,0,0,Deyna Castellanos,Manchester City W.F.C.
49,0,0,0,8,50.0,0,0.0,0,0,68.29,8,50.0,119,2,2,2,5,0,0,0,4,0,0,0,0,0,17,0,28,3,2,22.22,1,50.0,1,0,0,0,3,0,2,0.0,0,0,0.0,0,0,0,Rosella Ayane,Tottenham FC Women
50,0,0,0,14,45.16,2,25.0,3,1,77.64,16,41.03,469,5,4,11,8,0,0,0,8,0,0,0,0,0,36,2,125,5,4,33.33,1,11.11,5,2,2,0,5,2,3,0.0,0,0,0.0,0,0,0,Hanna Bennison,Everton Women
51,0,0,0,25,52.08,2,33.33,6,0,69.29,27,50.0,556,3,9,5,8,0,0,0,12,0,0,0,0,0,31,0,167,3,1,25.0,4,28.57,11,12,5,0,2,0,0,0.0,0,2,0.0,0,0,0,Clare Wheeler,Everton Women
52,0,0,0,11,47.83,10,55.56,0,0,85.07,21,51.22,719,1,3,4,8,0,0,0,16,4,0,0,0,0,46,0,450,2,0,0.0,24,46.15,7,42,5,0,5,0,1,0.0,0,0,0.0,1,0,0,Danielle Turner,Aston Villa WFC
53,1,2,0,19,51.35,12,54.55,2,1,55.45,31,52.54,413,6,5,6,6,0,0,0,10,2,0,0,0,0,13,0,61,1,1,100.0,1,12.5,3,12,4,0,5,3,0,20.0,0,2,0.0,0,0,0,Rachel Furness,Bristol City WFC
54,1,1,0,12,57.14,2,40.0,4,0,86.73,14,53.85,414,2,8,1,6,0,0,0,10,0,0,0,0,0,23,0,255,2,2,66.67,12,34.29,3,10,0,0,1,1,0,100.0,0,0,0.0,0,0,0,Nathalie Bjorn,Everton Women
55,0,0,0,0,0.0,1,50.0,0,0,81.38,1,50.0,630,0,0,0,7,10,7,3,6,0,9,2,0,2,3,0,153,0,0,0.0,29,49.15,0,2,0,0,0,0,0,0.0,0,0,0.0,0,2,0,Manuela Zinsberger,Arsenal Women
56,0,2,0,8,44.44,9,56.25,0,0,86.36,17,50.0,622,2,6,3,8,0,0,0,10,4,0,0,0,0,40,1,361,5,0,0.0,25,53.19,5,17,1,2,4,2,0,0.0,0,0,0.0,1,0,0,Rachel Corsie,Aston Villa WFC
57,1,1,0,9,33.33,0,0.0,6,1,71.43,9,29.03,189,1,3,7,5,0,0,0,2,0,0,0,0,0,15,0,35,6,3,20.0,1,33.33,0,0,4,0,4,1,2,25.0,0,1,0.0,0,0,0,Melissa Lawley,Liverpool FC Women
58,1,0,0,4,30.77,1,12.5,2,0,64.58,5,23.81,175,2,3,4,5,0,0,0,0,0,0,0,0,0,9,0,31,1,1,25.0,4,80.0,1,2,2,0,5,1,2,20.0,0,2,0.0,0,0,0,Natasha Flint,Liverpool FC Women
59,0,0,0,7,53.85,0,0.0,2,1,75.0,7,53.85,103,2,1,2,5,0,0,0,1,0,0,0,0,0,21,0,36,3,0,0.0,1,50.0,0,0,0,1,3,1,1,0.0,0,1,0.0,0,0,0,Jessica Park,Manchester City W.F.C.
60,0,2,0,13,68.42,0,0.0,2,1,50.0,13,65.0,134,6,0,4,6,0,0,0,2,0,0,0,0,0,3,0,7,1,0,0.0,0,0.0,0,0,1,0,2,1,1,0.0,0,3,0.0,0,0,0,Mia Enderby,Liverpool FC Women
61,0,0,0,12,52.17,7,77.78,2,1,83.76,19,59.38,685,2,1,6,8,0,0,0,15,0,0,0,0,0,44,1,392,10,7,41.18,12,38.71,7,7,2,0,1,0,0,0.0,0,0,0.0,0,0,0,Katrine Veje,Everton Women
62,1,0,0,18,47.37,3,30.0,1,0,68.61,21,43.75,496,5,9,5,7,0,0,0,11,1,0,0,0,0,33,0,94,2,0,0.0,5,45.45,5,3,5,0,4,2,0,25.0,0,1,0.0,0,0,0,Aileen Whelan,Leicester City WFC
63,0,0,0,1,100.0,0,0.0,0,0,100.0,1,100.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Demi Stokes,Manchester City W.F.C.
64,0,0,0,2,66.67,0,0.0,1,0,66.67,2,66.67,27,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0.0,0,0.0,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Shelina Zadorsky,Tottenham FC Women
65,0,0,0,4,100.0,1,50.0,0,0,71.88,5,83.33,43,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0.0,1,25.0,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Gemma Evans,Manchester United Women
66,0,1,0,5,33.33,1,50.0,1,0,71.3,6,35.29,398,1,1,6,6,0,0,0,8,0,0,0,0,0,23,0,77,4,0,0.0,0,0.0,1,3,2,1,8,4,2,0.0,1,0,0.0,0,0,0,Katja Snoeijs,Everton Women
67,0,0,0,9,52.94,0,0.0,3,0,68.97,9,52.94,115,3,1,3,7,0,0,0,3,0,0,0,0,0,16,0,40,2,0,0.0,3,50.0,2,2,1,0,2,0,1,0.0,0,0,0.0,0,0,0,Kit Graham,Tottenham FC Women
68,0,2,0,13,44.83,1,25.0,2,2,54.64,14,42.42,453,6,3,6,8,0,0,0,12,0,0,0,0,0,24,3,53,6,3,20.0,1,20.0,2,1,2,0,3,1,1,0.0,0,1,0.0,0,0,0,Hannah Cain,Leicester City WFC
69,1,1,0,17,42.5,6,75.0,6,0,77.7,23,47.92,554,1,7,11,7,0,0,0,10,0,0,0,0,0,39,0,209,5,0,0.0,6,28.57,7,3,4,0,7,1,4,14.29,0,0,0.0,0,0,0,Aurora Galli,Everton Women
70,0,0,0,15,46.88,0,0.0,3,1,82.67,15,40.54,530,0,1,9,7,0,0,0,9,3,0,0,0,0,50,0,186,4,0,0.0,12,57.14,4,3,2,0,5,0,4,0.0,0,0,0.0,0,0,0,Honoka Hayashi,West Ham Women
71,0,0,0,12,63.16,4,40.0,4,0,71.81,16,55.17,309,0,1,1,8,0,0,0,10,2,0,0,0,0,38,0,107,2,3,50.0,2,22.22,7,2,4,0,1,0,0,0.0,0,0,0.0,0,0,0,Charlize Rule,Brighton
72,0,1,0,5,50.0,2,20.0,2,1,61.11,7,35.0,113,2,2,2,4,0,0,0,1,0,0,0,0,0,7,1,22,1,1,100.0,1,16.67,0,1,0,0,2,1,0,0.0,0,0,0.0,0,0,0,Yana Daniels,Liverpool FC Women
73,0,0,0,4,66.67,0,0.0,1,0,75.0,4,66.67,47,0,0,0,4,0,0,0,2,0,0,0,0,0,4,0,12,1,1,50.0,0,0.0,1,0,1,0,1,1,0,0.0,0,0,0.0,0,0,0,Lucy Parry,Liverpool FC Women
74,0,1,0,23,65.71,4,66.67,4,0,74.45,27,65.85,720,4,3,7,8,0,0,0,16,3,0,0,0,0,52,1,236,4,1,11.11,16,36.36,9,14,2,0,2,1,0,0.0,0,0,0.0,0,0,0,Risa Shimizu,West Ham Women
75,1,0,0,19,43.18,1,33.33,6,0,73.68,20,42.55,401,8,3,12,8,0,0,0,9,1,0,0,0,0,17,0,56,5,2,28.57,0,0.0,3,4,4,1,7,3,3,14.29,0,3,0.0,0,0,0,Missy Goodwin,Leicester City WFC
76,0,0,0,8,40.0,0,0.0,2,0,54.61,8,34.78,644,0,0,5,8,0,0,0,10,6,0,0,0,0,38,1,83,3,4,28.57,2,15.38,13,8,2,0,6,5,0,0.0,0,0,0.0,0,0,0,Ffion Morgan,Bristol City WFC
77,0,0,0,7,100.0,3,42.86,1,0,74.42,10,71.43,142,2,0,0,8,0,0,0,3,0,0,0,0,0,8,0,32,2,0,0.0,2,50.0,2,2,0,0,2,0,0,0.0,0,0,0.0,0,0,0,Emily Syme,Bristol City WFC
78,0,0,0,0,0.0,0,0.0,0,0,82.61,0,0.0,29,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0.0,1,33.33,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Stephanie Houghton,Manchester City W.F.C.
79,0,0,0,4,50.0,0,0.0,1,0,69.23,4,50.0,28,0,2,1,2,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Keira Flannery,West Ham Women
80,0,0,0,3,42.86,5,71.43,1,0,65.0,8,57.14,135,1,1,2,4,0,0,0,2,1,0,0,0,0,7,0,26,1,0,0.0,1,50.0,0,2,1,0,7,2,2,0.0,0,0,0.0,0,0,0,Madison Haley,Brighton
81,1,0,0,6,50.0,4,80.0,0,0,72.0,10,58.82,128,2,2,1,5,0,0,0,5,1,0,0,0,0,14,0,54,0,0,0.0,2,22.22,1,3,3,0,2,2,0,50.0,0,1,0.0,0,0,0,Aimee Palmer,Leicester City WFC
