,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos,-9999
1,Brenden Aaronson,us USA,CCDL,Leeds United,22-200,2000,25.6,575,771,74.6,7361,2137,333,408,81.6,146,189,77.2,25,61,41.0,3,4.2,2.6,-1.2,46,45,16,4,84,Partidos,5bc43860
2,Che Adams,sct SCO,DL,Southampton,26-301,1996,22.1,330,498,66.3,4651,1042,205,278,73.7,78,118,66.1,26,37,70.3,3,2.8,2.2,+0.2,24,21,11,2,34,Partidos,f2bf1b0f
3,Tyler Adams,us USA,CC,Leeds United,24-085,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,-1.4,24,110,13,0,136,Partidos,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,20.2,903,1112,81.2,19028,7085,221,257,86.0,563,638,88.2,109,188,58.0,0,0.4,0.4,-0.4,6,77,6,0,83,Partidos,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,15.7,504,648,77.8,10289,4500,186,203,91.6,248,289,85.8,65,143,45.5,0,0.4,0.3,-0.4,5,33,4,0,24,Partidos,288e1e13
6,Naouirou Ahamada,fr FRA,CCDL,Crystal Palace,21-042,2002,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Partidos,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,11.5,446,552,80.8,6728,2269,255,287,88.9,159,195,81.5,20,32,62.5,0,1.0,0.8,-1.0,7,28,14,5,43,Partidos,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31,Partidos,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,23.8,1771,1904,93.0,30233,9619,802,835,96.0,840,880,95.5,106,151,70.2,1,0.4,1.0,+0.6,7,126,3,1,103,Partidos,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,20.1,1589,1756,90.5,25489,8764,775,816,95.0,725,787,92.1,62,96,64.6,0,0.6,1.3,-0.6,8,156,9,1,139,Partidos,eaeca114
