,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos,-9999
63,James Bree,eng ENG,DF,Southampton,25-211,1997,2.2,85,122,69.7,1275,472,52,67,77.6,21,31,67.7,8,15,53.3,0,0.2,0.2,-0.2,4,4,5,4,3,Partidos,c07b7c5c
64,Armando Broja,al ALB,DL,Chelsea,21-242,2001,3.3,33,53,62.3,466,54,21,33,63.6,9,15,60.0,2,3,66.7,0,0.1,0.1,-0.1,1,1,1,0,4,Partidos,97220da2
65,David Brooks,wls WAL,DLDF,Bournemouth,25-306,1997,0.4,4,6,66.7,48,9,3,3,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Partidos,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-185,2000,0.3,17,21,81.0,283,57,7,8,87.5,10,11,90.9,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,a2081c6b
67,Bryan,es ESP,CCDL,Tottenham,22-088,2001,1.6,47,60,78.3,638,92,26,32,81.3,14,16,87.5,2,4,50.0,1,0.2,0.1,+0.8,2,3,2,0,5,Partidos,7b5ab7f2
68,Emi Buendía,ar ARG,CCDL,Aston Villa,26-136,1996,25.5,759,984,77.1,11674,2983,419,495,84.6,245,311,78.8,61,86,70.9,2,5.3,3.9,-3.3,39,82,37,0,133,Partidos,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-234,2002,13.7,519,643,80.7,7213,2149,331,359,92.2,155,194,79.9,19,50,38.0,1,1.1,0.9,-0.1,15,24,10,6,38,Partidos,bfc3b3a0
70,Facundo Buonanotte,ar ARG,DLCC,Brighton,18-138,2004,3.2,89,113,78.8,1283,229,61,69,88.4,18,23,78.3,8,11,72.7,1,0.5,0.2,+0.5,5,4,3,1,5,Partidos,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,31-001,1992,31.4,1196,1524,78.5,19742,7774,581,662,87.8,505,618,81.7,87,172,50.6,0,1.2,1.2,-1.2,14,83,9,1,102,Partidos,b2d31e83
72,Cafú,pt POR,CC,Nott'ham Forest,30-073,1993,0.1,2,2,100.0,45,41,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Partidos,85322440
73,Moisés Caicedo,ec ECU,CC,Brighton,21-189,2001,30.4,1762,1983,88.9,26824,7052,986,1064,92.7,599,660,90.8,118,147,80.3,1,2.5,2.4,-1.5,39,161,32,5,194,Partidos,16264a81
74,Tom Cairney,sct SCO,CC,Fulham,32-110,1991,8.5,527,619,85.1,8348,1983,273,296,92.2,187,214,87.4,43,67,64.2,0,1.2,1.3,-1.2,10,61,15,5,74,Partidos,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-235,1996,10.5,480,568,84.5,9398,3504,155,173,89.6,268,289,92.7,53,93,57.0,0,0.0,0.2,0.0,1,26,0,0,33,Partidos,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,DL,Everton,26-055,1997,12.0,121,205,59.0,1427,283,77,117,65.8,27,50,54.0,4,6,66.7,1,0.8,0.8,+0.2,9,10,4,0,14,Partidos,59e6e5bf
77,Chem Campbell,wls WAL,DLCC,Wolves,20-131,2002,0.8,23,32,71.9,344,64,10,11,90.9,13,14,92.9,0,5,0.0,0,0.0,0.0,0.0,0,2,0,0,4,Partidos,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-348,1994,14.2,1036,1220,84.9,16674,4147,578,621,93.1,363,430,84.4,81,123,65.9,1,0.9,1.5,+0.1,12,80,36,9,106,Partidos,bd6351cd
79,Thomas Cannon,ie IRL,DL,Everton,20-133,2002,0.3,4,5,80.0,37,0,3,4,75.0,1,1,100.0,0,0,,0,0.5,0.0,-0.5,1,0,0,0,0,Partidos,4506aec5
80,Sergi Canós,es ESP,DLDF,Brentford,26-097,1997,0.9,23,43,53.5,268,76,14,18,77.8,4,15,26.7,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2,Partidos,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-056,1993,2.3,112,142,78.9,2338,881,35,41,85.4,60,71,84.5,17,28,60.7,0,0.0,0.1,0.0,1,9,1,0,11,Partidos,b4a014b1
82,Fabio Carvalho,pt POR,CCDL,Liverpool,20-253,2002,3.8,114,139,82.0,1526,270,70,81,86.4,30,37,81.1,5,6,83.3,0,0.1,0.2,-0.1,1,7,2,0,11,Partidos,966e28d0
83,Casemiro,br BRA,CC,Manchester Utd,31-076,1992,19.9,935,1213,77.1,16577,5968,431,513,84.0,378,460,82.2,105,175,60.0,3,2.5,3.4,+0.5,22,108,20,4,121,Partidos,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-276,1997,18.2,733,939,78.1,12836,4308,327,364,89.8,339,411,82.5,57,125,45.6,1,0.7,0.9,+0.3,8,55,15,9,74,Partidos,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-156,1995,33.2,1393,1736,80.2,20031,7912,853,953,89.5,439,548,80.1,59,122,48.4,3,2.6,2.2,+0.4,22,84,20,10,103,Partidos,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-068,1994,14.0,701,832,84.3,11101,3638,382,419,91.2,264,305,86.6,44,62,71.0,0,1.0,0.8,-1.0,5,60,10,2,70,Partidos,e28868f3
87,Julio César Enciso,py PAR,DLCC,Brighton,19-107,2004,5.9,129,177,72.9,1598,373,90,115,78.3,35,46,76.1,1,6,16.7,2,1.2,0.9,+0.8,10,13,8,0,21,Partidos,9cfbad36
88,Nathaniel Chalobah,eng ENG,CC,Fulham,28-149,1994,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Partidos,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-309,1999,14.4,831,941,88.3,14876,4344,323,361,89.5,445,479,92.9,56,80,70.0,0,0.2,0.3,-0.2,2,54,3,1,59,Partidos,5515376c
90,Calum Chambers,eng ENG,DFCC,Aston Villa,28-110,1995,3.9,157,207,75.8,2924,1310,66,76,86.8,77,94,81.9,14,31,45.2,0,0.3,0.2,-0.3,2,9,2,1,16,Partidos,dc6f5bdd
91,Ben Chilwell,eng ENG,DFCC,Chelsea,26-140,1996,15.6,762,977,78.0,10963,3238,469,507,92.5,223,284,78.5,42,123,34.1,2,2.2,2.4,-0.2,21,42,10,7,41,Partidos,d2424d1b
92,Ryan Christie,sct SCO,CCDL,Bournemouth,28-077,1995,18.3,459,578,79.4,7382,1771,242,285,84.9,157,176,89.2,42,75,56.0,1,2.2,1.9,-1.2,26,41,17,2,62,Partidos,26ce2263
93,Carney Chukwuemeka,eng ENG,CCDL,Chelsea,19-202,2003,2.6,98,117,83.8,1240,297,70,82,85.4,15,19,78.9,5,5,100.0,0,0.1,0.1,-0.1,3,6,4,2,12,Partidos,b2f9c73e
94,Bobby Clark,eng ENG,CC,Liverpool,18-092,2005,0.1,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1,Partidos,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-035,1991,18.2,654,832,78.6,10205,3887,341,386,88.3,283,346,81.8,24,73,32.9,0,0.7,0.6,-0.7,7,51,6,5,52,Partidos,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-074,1993,21.9,972,1149,84.6,20673,7966,268,286,93.7,548,588,93.2,148,257,57.6,1,0.3,0.5,+0.7,4,71,3,1,40,Partidos,2928dca2
97,Jack Colback,eng ENG,CC,Nott'ham Forest,33-198,1989,5.5,119,143,83.2,1936,446,61,71,85.9,48,55,87.3,8,11,72.7,0,0.2,0.2,-0.2,2,12,3,1,16,Partidos,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-211,1988,18.4,597,789,75.7,9624,3826,306,350,87.4,237,299,79.3,42,99,42.4,0,0.9,0.9,-0.9,4,35,18,7,61,Partidos,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,22-010,2001,18.2,917,1036,88.5,18527,6430,270,297,90.9,520,555,93.7,110,158,69.6,0,0.1,0.2,-0.1,2,65,2,0,60,Partidos,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-073,2003,9.6,741,835,88.7,12897,5206,307,333,92.2,369,405,91.1,54,73,74.0,0,0.2,0.2,-0.2,3,58,3,0,55,Partidos,700783e7
101,Lewis Cook,eng ENG,CC,Bournemouth,26-096,1997,18.0,547,695,78.7,9163,2858,266,303,87.8,218,252,86.5,47,88,53.4,2,2.5,2.3,-0.5,24,53,12,9,58,Partidos,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-021,1991,10.6,369,459,80.4,7884,2511,80,99,80.8,234,261,89.7,51,91,56.0,0,0.6,0.6,-0.6,3,18,2,1,19,Partidos,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-253,1991,14.8,572,729,78.5,10626,4247,222,253,87.7,293,348,84.2,49,108,45.4,0,0.7,0.3,-0.7,5,45,1,1,40,Partidos,dc64b8b3
104,Maxwel Cornet,ci CIV,DL,West Ham,26-225,1996,1.9,44,61,72.1,588,112,28,34,82.4,13,17,76.5,1,1,100.0,0,0.1,0.1,-0.1,1,2,1,1,4,Partidos,beb391dd
105,Diego Costa,es ESP,DL,Wolves,34-215,1988,12.7,137,194,70.6,1572,273,81,104,77.9,38,47,80.9,1,4,25.0,0,0.7,0.7,-0.7,11,9,4,0,13,Partidos,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-261,1992,21.7,643,1050,61.2,11335,5835,303,368,82.3,249,395,63.0,73,205,35.6,1,2.2,1.6,-1.2,22,64,17,12,79,Partidos,fdf3cb77
107,Philippe Coutinho,br BRA,CCDL,Aston Villa,30-332,1992,8.8,288,384,75.0,4081,976,180,210,85.7,82,112,73.2,17,36,47.2,0,0.5,0.8,-0.5,8,30,8,2,48,Partidos,0ef89a37
108,Conor Coventry,ie IRL,CCDL,West Ham,23-046,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-146,1989,24.1,1081,1394,77.5,17573,8318,603,646,93.3,365,474,77.0,99,201,49.3,1,3.7,2.8,-2.7,40,86,28,15,142,Partidos,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-292,1998,18.6,1090,1293,84.3,16587,5116,600,647,92.7,396,453,87.4,59,110,53.6,2,0.6,0.9,+1.4,11,77,12,6,73,Partidos,1daec722
111,Matheus Cunha,br BRA,DL,Wolves,23-348,1999,10.0,160,217,73.7,1968,321,98,121,81.0,35,49,71.4,8,16,50.0,0,0.5,0.2,-0.5,6,5,2,0,13,Partidos,dc62b55d
112,Patson Daka,zm ZAM,DL,Leicester City,24-213,1998,12.5,179,269,66.5,2366,422,108,143,75.5,52,77,67.5,6,10,60.0,4,2.8,1.7,+1.2,17,7,8,1,17,Partidos,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-053,1999,22.9,1105,1397,79.1,20225,6207,448,503,89.1,530,624,84.9,111,202,55.0,2,1.9,1.5,+0.1,29,80,28,13,92,Partidos,d9565625
114,Mikkel Damsgaard,dk DEN,CCDL,Brentford,22-311,2000,8.9,223,330,67.6,3186,1101,127,154,82.5,72,106,67.9,13,36,36.1,0,1.0,1.0,-1.0,10,31,8,1,33,Partidos,215f3907
115,Danilo,br BRA,CC,Nott'ham Forest,22-011,2001,9.1,144,217,66.4,2456,943,75,90,83.3,52,70,74.3,15,32,46.9,2,0.6,0.6,+1.4,7,22,7,0,33,Partidos,a816dbfb
116,Arnaut Danjuma,nl NED,DLCC,Tottenham,26-099,1997,1.0,15,28,53.6,217,40,10,15,66.7,3,5,60.0,2,2,100.0,0,0.0,0.0,0.0,1,0,2,2,0,Partidos,f08490a6
117,Josh Dasilva,eng ENG,CC,Brentford,24-199,1998,15.0,473,593,79.8,7794,1833,243,277,87.7,184,212,86.8,37,66,56.1,2,1.5,1.5,+0.5,12,33,23,5,60,Partidos,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-016,1993,22.5,944,1159,81.4,15732,5335,453,507,89.3,399,463,86.2,66,123,53.7,2,2.3,1.3,-0.3,18,72,6,3,101,Partidos,44781702
119,Tom Davies,eng ENG,CC,Everton,24-314,1998,6.0,173,234,73.9,2879,850,87,111,78.4,64,76,84.2,16,29,55.2,0,0.2,0.3,-0.2,2,25,2,0,30,Partidos,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,33-004,1990,8.0,245,310,79.0,5404,2170,74,86,86.0,121,137,88.3,48,79,60.8,0,0.1,0.1,-0.1,1,25,0,0,18,Partidos,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,33-004,1990,13.7,677,805,84.1,14046,4717,196,218,89.9,373,404,92.3,101,163,62.0,0,0.0,0.1,0.0,1,46,1,0,38,Partidos,3e9e06cb
122,Kevin De Bruyne,be BEL,CC,Manchester City,31-316,1991,26.1,1157,1586,73.0,21562,6378,522,617,84.6,463,613,75.5,156,271,57.6,16,13.7,13.9,+2.3,95,124,93,19,241,Partidos,e46012d4
123,Siriki Dembélé,ci CIV,DLCC,Bournemouth,26-245,1996,1.2,37,47,78.7,543,223,22,29,75.9,10,13,76.9,2,2,100.0,0,0.3,0.2,-0.3,4,2,3,2,4,Partidos,11f54bd5
124,Leander Dendoncker,be BEL,CC,Aston Villa,28-025,1995,7.7,247,281,87.9,3932,804,119,128,93.0,110,120,91.7,11,16,68.8,0,0.5,0.1,-0.5,5,16,0,0,17,Partidos,5a7301ae
125,Leander Dendoncker,be BEL,CC,Wolves,28-025,1995,2.4,86,99,86.9,1466,282,45,50,90.0,32,32,100.0,8,8,100.0,0,0.0,0.0,0.0,2,4,1,1,6,Partidos,5a7301ae
126,Emmanuel Dennis,ng NGA,DLCC,Nott'ham Forest,25-176,1997,7.8,120,177,67.8,1798,372,71,90,78.9,37,55,67.3,8,11,72.7,2,0.6,0.4,+1.4,7,7,4,2,16,Partidos,2c44a35d
127,Halil Dervişoğlu,tr TUR,CC,Brentford,23-153,1999,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,CC,Leicester City,24-246,1998,24.8,838,1114,75.2,14005,3668,426,501,85.0,303,380,79.7,81,157,51.6,2,3.1,2.5,-1.1,38,110,22,4,129,Partidos,5c74c0f5
129,Ibrahima Diallo,fr FRA,CC,Southampton,24-063,1999,9.1,317,402,78.9,4768,1064,181,206,87.9,112,139,80.6,16,34,47.1,0,0.1,0.1,-0.1,4,24,2,0,28,Partidos,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-361,1997,21.2,1836,1983,92.6,33816,12026,667,697,95.7,1017,1064,95.6,137,194,70.6,0,0.6,0.3,-0.6,3,130,0,0,95,Partidos,31c69ef1
131,Luis Díaz,co COL,DL,Liverpool,26-117,1997,9.1,299,366,81.7,4517,899,171,204,83.8,104,122,85.2,17,19,89.5,2,1.3,1.1,+0.7,10,21,8,1,39,Partidos,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-115,1994,31.3,1708,2001,85.4,32594,12717,636,688,92.4,866,934,92.7,179,317,56.5,1,1.2,0.6,-0.2,7,76,8,3,87,Partidos,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-294,1993,15.1,655,864,75.8,10316,3909,368,410,89.8,231,312,74.0,45,94,47.9,0,1.8,1.7,-1.8,17,35,22,14,52,Partidos,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-121,1997,19.4,1047,1218,86.0,20946,6782,317,354,89.5,622,671,92.7,105,179,58.7,0,0.0,0.2,0.0,1,65,3,0,63,Partidos,a712ca2b
135,Moussa Djenepo,ml MLI,DFDL,Southampton,24-329,1998,7.7,169,232,72.8,2470,736,99,113,87.6,56,79,70.9,8,20,40.0,2,0.5,0.4,+1.5,8,13,5,3,18,Partidos,254147d4
136,Ben Doak,sct SCO,DL,Liverpool,17-180,2005,0.3,10,14,71.4,86,17,9,10,90.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Partidos,733f1a7d
137,Matt Doherty,ie IRL,DFCC,Tottenham,31-114,1992,7.4,329,408,80.6,4896,1222,190,204,93.1,107,137,78.1,18,35,51.4,0,0.3,0.3,-0.3,6,14,5,3,20,Partidos,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-142,1997,34.9,1984,2218,89.4,35345,12712,803,851,94.4,1021,1083,94.3,138,228,60.5,0,0.2,0.6,-0.2,4,156,3,0,145,Partidos,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,CC,Everton,30-129,1993,14.0,376,474,79.3,4947,1164,226,272,83.1,126,149,84.6,5,10,50.0,2,2.0,0.9,0.0,19,26,10,0,35,Partidos,02b29014
140,Cheick Doucouré,ml MLI,CC,Crystal Palace,23-122,2000,28.1,932,1128,82.6,15595,4937,441,494,89.3,401,467,85.9,70,97,72.2,3,1.9,1.1,+1.1,25,99,10,1,128,Partidos,ce4f40c7
141,Flynn Downes,eng ENG,CC,West Ham,24-110,1999,6.5,180,216,83.3,2407,517,120,129,93.0,45,55,81.8,7,11,63.6,0,0.0,0.1,0.0,1,12,1,0,15,Partidos,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-153,2001,0.8,30,38,78.9,457,153,17,21,81.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,2,Partidos,e0d1510a
143,Martin Dúbravka,sk SVK,PO,Newcastle Utd,34-115,1989,0.7,19,22,86.4,418,293,9,9,100.0,4,4,100.0,5,8,62.5,0,0.0,0.0,0.0,0,1,0,0,0,Partidos,3a949a25
144,Shane Duffy,ie IRL,DFDL,Fulham,31-129,1992,0.2,16,20,80.0,308,61,5,5,100.0,9,10,90.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-170,1991,33.0,2658,2944,90.3,50424,18723,956,1011,94.6,1395,1465,95.2,267,404,66.1,0,1.0,0.9,-1.0,9,168,9,1,150,Partidos,282f75f3
146,Jhon Durán,co COL,DLCC,Aston Villa,19-148,2003,1.2,14,24,58.3,243,40,6,8,75.0,7,11,63.6,1,2,50.0,0,0.0,0.0,0.0,1,1,1,0,4,Partidos,414184f7
147,Malcolm Ebiowei,eng ENG,CCDL,Crystal Palace,19-248,2003,0.4,5,10,50.0,98,16,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Partidos,fa9fa773
148,Ederson,br BRA,PO,Manchester City,29-266,1993,33.0,1009,1174,85.9,24562,16074,221,223,99.1,529,536,98.7,258,411,62.8,1,0.2,0.2,+0.8,1,13,0,0,0,Partidos,3bb7b8b4
149,Odsonne Édouard,fr FRA,DL,Crystal Palace,25-114,1998,18.0,270,376,71.8,3054,493,192,239,80.3,51,81,63.0,5,10,50.0,2,1.1,0.7,+0.9,15,9,9,0,32,Partidos,0562b7f1
150,Samuel Edozie,eng ENG,DLCC,Southampton,20-102,2003,6.3,111,164,67.7,1348,354,75,93,80.6,22,34,64.7,5,10,50.0,0,0.4,0.4,-0.4,8,6,6,1,13,Partidos,007414dd
151,Anthony Elanga,se SWE,DL,Manchester Utd,21-013,2002,4.7,95,130,73.1,1201,298,65,86,75.6,23,32,71.9,3,3,100.0,1,0.9,1.0,+0.1,6,3,3,0,8,Partidos,2fba6108
152,Harvey Elliott,eng ENG,CCDL,Liverpool,20-036,2003,17.4,776,968,80.2,11685,2997,432,482,89.6,277,342,81.0,41,79,51.9,2,3.3,4.3,-1.3,23,65,38,6,127,Partidos,c8387671
153,Mohamed Elneny,eg EGY,CC,Arsenal,30-303,1992,1.3,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0,0.0,0.0,0.0,0,3,2,0,2,Partidos,47a34c4f
154,Mohamed Elyounoussi,no NOR,CCDL,Southampton,28-279,1994,22.4,401,597,67.2,5619,1562,256,327,78.3,103,158,65.2,26,52,50.0,1,2.1,1.6,-1.1,18,29,18,6,47,Partidos,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-116,1999,16.5,714,890,80.2,11348,3236,366,409,89.5,278,323,86.1,46,81,56.8,1,0.6,1.0,+0.4,9,46,16,3,71,Partidos,df8b52a5
156,Christian Eriksen,dk DEN,CC,Manchester Utd,31-085,1992,19.9,1054,1308,80.6,17481,5331,543,606,89.6,384,452,85.0,94,180,52.2,7,3.8,2.9,+3.2,31,130,23,4,143,Partidos,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-109,1998,25.2,1386,1682,82.4,19906,6133,823,906,90.8,469,566,82.9,52,95,54.7,4,4.1,2.9,-0.1,43,88,35,14,138,Partidos,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-127,1988,9.0,603,675,89.3,12088,4606,172,186,92.5,361,381,94.8,64,91,70.3,0,0.0,0.1,0.0,1,40,1,0,31,Partidos,f8fcd2a5
159,Eberechi Eze,eng ENG,CCDL,Crystal Palace,24-315,1998,26.3,822,1049,78.4,12481,3512,477,544,87.7,252,308,81.8,62,135,45.9,3,3.9,2.8,-0.9,52,76,30,2,111,Partidos,ae4fc6a4
160,Łukasz Fabiański,pl POL,PO,West Ham,38-022,1985,31.6,537,845,63.6,17260,13770,103,103,100.0,197,200,98.5,235,537,43.8,0,0.0,0.0,0.0,0,12,0,0,0,Partidos,9328b835
161,Fabinho,br BRA,CC,Liverpool,29-199,1993,27.2,1471,1666,88.3,23748,5547,746,804,92.8,563,609,92.4,116,167,69.5,1,1.9,1.7,-0.9,15,116,13,0,141,Partidos,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-037,1998,28.0,1486,1739,85.5,27528,9654,546,604,90.4,818,895,91.4,110,207,53.1,2,0.6,0.6,+1.4,9,69,5,0,72,Partidos,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-359,1989,13.9,389,538,72.3,7565,3080,146,175,83.4,192,233,82.4,45,104,43.3,1,0.5,0.8,+0.5,5,14,2,0,20,Partidos,51a3c4c8
164,João Félix,pt POR,DLCC,Chelsea,23-181,1999,9.0,236,309,76.4,3531,1002,147,168,87.5,63,87,72.4,19,35,54.3,0,0.5,0.9,-0.5,7,27,14,1,41,Partidos,8aafd64f
165,Evan Ferguson,ie IRL,DL,Brighton,18-203,2004,7.2,138,172,80.2,1789,245,97,115,84.3,34,41,82.9,4,6,66.7,2,0.5,0.5,+1.5,8,2,5,0,8,Partidos,4596da74
166,Bruno Fernandes,pt POR,CCDL,Manchester Utd,28-244,1994,33.0,1344,1819,73.9,22966,8009,688,808,85.1,445,565,78.8,166,301,55.1,7,14.6,9.5,-7.6,103,131,74,9,231,Partidos,507c7bdf
167,Enzo Fernández,ar ARG,CC,Chelsea,22-113,2001,13.2,955,1083,88.2,18259,5303,387,421,91.9,404,449,90.0,144,176,81.8,2,1.5,1.5,+0.5,13,122,15,0,119,Partidos,5ff4ab71
168,Roberto Firmino,br BRA,DLCC,Liverpool,31-220,1991,12.6,426,540,78.9,5731,1847,263,307,85.7,119,148,80.4,18,26,69.2,4,2.3,1.9,+1.7,20,45,18,1,76,Partidos,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-261,1996,13.9,424,572,74.1,6665,3017,216,260,83.1,185,232,79.7,18,49,36.7,1,0.8,0.7,+0.2,8,35,7,3,48,Partidos,24f59bb2
170,Phil Foden,eng ENG,DL,Manchester City,22-347,2000,16.9,730,915,79.8,11177,1946,418,463,90.3,236,283,83.4,46,93,49.5,6,3.4,3.5,+2.6,35,29,29,9,67,Partidos,ed1e53f3
171,Datro Fofana,ci CIV,DL,Chelsea,20-139,2002,0.7,4,6,66.7,53,28,2,3,66.7,2,2,100.0,0,0,,0,0.1,0.1,-0.1,2,0,1,0,1,Partidos,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-144,2000,2.0,117,140,83.6,1995,559,44,44,100.0,64,74,86.5,6,13,46.2,0,0.0,0.0,0.0,0,16,0,0,6,Partidos,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-144,2000,10.6,615,691,89.0,10061,2470,285,303,94.1,303,330,91.8,18,39,46.2,0,0.0,0.3,0.0,1,44,2,0,36,Partidos,132a82f1
174,Pablo Fornals,es ESP,DLCC,West Ham,27-077,1996,14.1,456,640,71.3,7654,2221,223,258,86.4,163,219,74.4,51,108,47.2,1,1.5,1.8,-0.5,14,48,8,4,64,Partidos,82927de4
175,Adam Forshaw,eng ENG,CC,Leeds United,31-214,1991,3.1,90,111,81.1,1415,493,49,52,94.2,21,24,87.5,13,23,56.5,0,0.5,0.3,-0.5,2,12,1,0,14,Partidos,9f1938ab
176,Fraser Forster,eng ENG,PO,Tottenham,35-054,1988,10.5,209,272,76.8,4833,3034,66,66,100.0,97,97,100.0,45,106,42.5,0,0.0,0.0,0.0,0,2,0,0,0,Partidos,c3e39f12
177,Tyrese Francois,au AUS,DL,Fulham,22-298,2000,0.0,2,2,100.0,12,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Partidos,6722d4f0
178,Ryan Fraser,sct SCO,DL,Newcastle Utd,29-075,1994,3.5,85,122,69.7,1228,289,50,59,84.7,28,41,68.3,3,8,37.5,0,0.4,0.3,-0.4,5,4,4,1,9,Partidos,d56543a0
179,Fred,br BRA,CC,Manchester Utd,30-066,1993,12.8,553,705,78.4,8483,2418,304,352,86.4,179,215,83.3,43,70,61.4,1,2.1,1.3,-1.1,23,54,10,2,67,Partidos,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-212,1992,5.9,149,220,67.7,2139,735,85,96,88.5,55,88,62.5,4,15,26.7,0,0.1,0.3,-0.1,1,5,6,1,15,Partidos,c067631c
181,Remo Freuler,ch SUI,CC,Nott'ham Forest,31-025,1992,24.0,664,836,79.4,9828,3216,371,429,86.5,238,285,83.5,30,66,45.5,0,0.8,0.7,-0.8,12,47,6,3,54,Partidos,98d2c2c4
182,Cody Gakpo,nl NED,DL,Liverpool,24-003,1999,13.8,247,332,74.4,3236,887,144,182,79.1,75,98,76.5,7,15,46.7,2,1.7,1.3,+0.3,17,25,10,1,38,Partidos,1971591f
183,Conor Gallagher,eng ENG,CCDL,Chelsea,23-093,2000,14.6,577,722,79.9,8723,2101,323,365,88.5,203,243,83.5,28,53,52.8,1,2.3,1.6,-1.3,21,58,16,5,88,Partidos,c2731c10
184,Idrissa Gana Gueye,sn SEN,CC,Everton,33-226,1989,26.1,956,1138,84.0,15191,3966,487,538,90.5,393,443,88.7,53,97,54.6,1,1.1,0.8,-0.1,11,100,5,0,87,Partidos,72c812f3
185,Alejandro Garnacho,es ESP,DLCC,Manchester Utd,18-313,2004,5.0,115,143,80.4,1327,143,87,102,85.3,20,21,95.2,2,2,100.0,2,1.0,0.9,+1.0,2,1,1,0,5,Partidos,7aa8adfe
186,James Garner,eng ENG,CC,Everton,22-058,2001,6.1,172,235,73.2,2621,801,92,107,86.0,67,80,83.8,7,32,21.9,1,0.2,0.3,+0.8,4,13,4,2,23,Partidos,4e015693
